/usr/share/Modules/bin:/lsf/local/bin/:/lsf/10.1/linux3.10-glibc2.17-x86_64/etc:/lsf/10.1/linux3.10-glibc2.17-x86_64/bin:/appl9/latex/TexLive24/bin/x86_64-linux:/appl/Modules/4.8.0/bin:/apps9/dcc/bin:/usr/bin:/bin:/usr/local/bin:/opt/puppetlabs/bin:.
/work3/mtaho/PhD/fenitop/scripts
Start time:
Tue Feb 25 07:48:52 CET 2025
No. of cores = 64
No. of processes = 64
No. of OMP threads = 1
opt_iter: 53, opt_time: 8.53 (s), beta: 2, C: 19.569, V: 0.080, U: 0.000, change: 0.020
opt_iter: 54, opt_time: 8.53 (s), beta: 2, C: 19.224, V: 0.080, U: 0.000, change: 0.020
opt_iter: 55, opt_time: 8.79 (s), beta: 2, C: 18.939, V: 0.080, U: 0.000, change: 0.020
opt_iter: 56, opt_time: 8.61 (s), beta: 2, C: 18.696, V: 0.080, U: 0.000, change: 0.020
opt_iter: 57, opt_time: 8.78 (s), beta: 2, C: 18.484, V: 0.080, U: 0.000, change: 0.020
opt_iter: 58, opt_time: 8.85 (s), beta: 2, C: 18.297, V: 0.080, U: 0.000, change: 0.020
opt_iter: 59, opt_time: 8.59 (s), beta: 2, C: 18.132, V: 0.080, U: 0.000, change: 0.020
opt_iter: 60, opt_time: 8.61 (s), beta: 2, C: 17.985, V: 0.080, U: 0.000, change: 0.020
opt_iter: 61, opt_time: 8.88 (s), beta: 2, C: 17.853, V: 0.080, U: 0.000, change: 0.020
opt_iter: 62, opt_time: 8.67 (s), beta: 2, C: 17.734, V: 0.080, U: 0.000, change: 0.020
opt_iter: 63, opt_time: 9.04 (s), beta: 2, C: 17.626, V: 0.080, U: 0.000, change: 0.020
opt_iter: 64, opt_time: 8.78 (s), beta: 2, C: 17.527, V: 0.080, U: 0.000, change: 0.020
opt_iter: 65, opt_time: 9.09 (s), beta: 2, C: 17.437, V: 0.080, U: 0.000, change: 0.020
opt_iter: 66, opt_time: 8.9 (s), beta: 2, C: 17.354, V: 0.080, U: 0.000, change: 0.020
opt_iter: 67, opt_time: 9.12 (s), beta: 2, C: 17.277, V: 0.080, U: 0.000, change: 0.020
opt_iter: 68, opt_time: 8.98 (s), beta: 2, C: 17.206, V: 0.080, U: 0.000, change: 0.020
opt_iter: 69, opt_time: 9.18 (s), beta: 2, C: 17.141, V: 0.080, U: 0.000, change: 0.020
opt_iter: 70, opt_time: 9.24 (s), beta: 2, C: 17.080, V: 0.080, U: 0.000, change: 0.020
opt_iter: 71, opt_time: 9.2 (s), beta: 2, C: 17.023, V: 0.080, U: 0.000, change: 0.020
